season,week,category,player_id,player_name,team,position,role_family,role_family_label,headline,current_raw,current_denominator,current_share,baseline_raw,baseline_denominator,baseline_share,share_change,all_play_raw,all_play_denominator,all_play_share,outside_normal_opportunities,all_play_normal_gap,production_yards,yards_per_opportunity,useful_contexts,context_summary,baseline_games,category_reason,secondary_categories,suspected_partial_game,player_href,team_href,game_href,explanation
2025,8,"Strong Opportunity, Weak Production",00-0037256,Rachaad White,TB,RB,rb_carry_share,RB carry share,Produced 35 yards while handling 13 of 23 team carries.,13,23,0.5652173913043478,47,84,0.5595238095238095,0.005693581780538248,13,29,0.4482758620689655,0,-0.11694152923538226,35.0,2.6923076923076925,4,"early downs, inside five, red zone, passing downs",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0037256&season=2025&family=rb_carry_share&week=8,/teams?team=TB&season=2025&family=rb_carry_share&week=8,/games?season=2025&week=8&game=2025_08_TB_NO,"The player averaged 2.7 yards per opportunity across early downs, inside five, red zone, passing downs."
2025,11,Box Score Overstated the Role,00-0036924,Michael Carter,ARI,RB,rb_opportunity_share,RB opportunity share,6 of 9 opportunities occurred outside normal-game context.,3,18,0.1666666666666666,46,101,0.45544554455445546,-0.2887788778877889,9,26,0.3461538461538461,6,0.1794871794871795,28.0,9.333333333333334,3,"early downs, passing downs, red zone",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role | Opportunity Lost,False,/players?player=00-0036924&season=2025&family=rb_opportunity_share&week=11,/teams?team=ARI&season=2025&family=rb_opportunity_share&week=11,/games?season=2025&week=11&game=2025_11_SF_ARI,All-play share was 17.9 points above normal-game share.
2025,11,Box Score Overstated the Role,00-0040238,LeQuint Allen Jr.,JAX,RB,rb_opportunity_share,RB opportunity share,8 of 8 opportunities occurred outside normal-game context.,0,32,0.0,6,96,0.0625,-0.0625,8,44,0.1818181818181818,8,0.1818181818181818,36.0,,3,"early downs, passing downs, red zone",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role,False,/players?player=00-0040238&season=2025&family=rb_opportunity_share&week=11,/teams?team=JAX&season=2025&family=rb_opportunity_share&week=11,/games?season=2025&week=11&game=2025_11_LAC_JAX,All-play share was 18.2 points above normal-game share.
2025,11,Opportunity Lost,00-0037228,Jaylen Warren,PIT,RB,rb_carry_share,RB carry share,Carry share fell from 77.6% to 37.0%.,10,27,0.3703703703703703,59,76,0.7763157894736842,-0.4059454191033139,10,27,0.3703703703703703,0,0.0,62.0,6.2,1,early downs,4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0037228&season=2025&family=rb_carry_share&week=11,/teams?team=PIT&season=2025&family=rb_carry_share&week=11,/games?season=2025&week=11&game=2025_11_CIN_PIT,Selected-week share was 40.6 points below the prior 4-game baseline. Kenny Gainwell had the largest same-family increase for PIT.
2025,11,Opportunity Lost,00-0037256,Rachaad White,TB,RB,rb_carry_share,RB carry share,Carry share fell from 63.3% to 26.3%.,10,38,0.2631578947368421,50,79,0.6329113924050633,-0.36975349766822124,10,38,0.2631578947368421,0,0.0,51.0,5.1,3,"early downs, passing downs, red zone",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0037256&season=2025&family=rb_carry_share&week=11,/teams?team=TB&season=2025&family=rb_carry_share&week=11,/games?season=2025&week=11&game=2025_11_TB_BUF,Selected-week share was 37.0 points below the prior 4-game baseline. Sean Tucker had the largest same-family increase for TB.
2025,11,Opportunity Lost,00-0035700,Josh Jacobs,GB,RB,rb_carry_share,RB carry share,Carry share fell from 65.3% to 30.4%.,7,23,0.3043478260869565,64,98,0.6530612244897959,-0.3487133984028394,7,23,0.3043478260869565,0,0.0,40.0,5.714285714285714,4,"early downs, red zone, inside five, passing downs",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,True,/players?player=00-0035700&season=2025&family=rb_carry_share&week=11,/teams?team=GB&season=2025&family=rb_carry_share&week=11,/games?season=2025&week=11&game=2025_11_GB_NYG,Selected-week share was 34.9 points below the prior 4-game baseline. Emanuel Wilson had the largest same-family increase for GB.
2025,11,Opportunity Gained,00-0033923,Kareem Hunt,KC,RB,rb_carry_share,RB carry share,Handled 13 of 14 team carries.,13,14,0.9285714285714286,27,90,0.3,0.6285714285714286,13,14,0.9285714285714286,0,0.0,59.0,4.538461538461538,4,"early downs, red zone, inside five, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0033923&season=2025&family=rb_carry_share&week=11,/teams?team=KC&season=2025&family=rb_carry_share&week=11,/games?season=2025&week=11&game=2025_11_KC_DEN,Selected-week share was 62.9 points above the prior 4-game baseline.
2025,11,Opportunity Gained,00-0040734,TreVeyon Henderson,NE,RB,rb_opportunity_share,RB opportunity share,Handled 24 of 27 team RB opportunities.,24,27,0.8888888888888888,43,91,0.4725274725274725,0.4163614163614163,24,27,0.8888888888888888,0,0.0,93.0,3.875,3,"early downs, red zone, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0040734&season=2025&family=rb_opportunity_share&week=11,/teams?team=NE&season=2025&family=rb_opportunity_share&week=11,/games?season=2025&week=11&game=2025_11_NYJ_NE,Selected-week share was 41.6 points above the prior 4-game baseline.
2025,11,Opportunity Gained,00-0040730,RJ Harvey,DEN,RB,rb_carry_share,RB carry share,Handled 11 of 20 team carries.,11,20,0.55,15,88,0.17045454545454544,0.37954545454545463,11,20,0.55,0,0.0,30.0,2.727272727272727,3,"early downs, red zone, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,"Opportunity Gained | Strong Opportunity, Weak Production",False,/players?player=00-0040730&season=2025&family=rb_carry_share&week=11,/teams?team=DEN&season=2025&family=rb_carry_share&week=11,/games?season=2025&week=11&game=2025_11_KC_DEN,Selected-week share was 38.0 points above the prior 4-game baseline.
2025,11,"Strong Opportunity, Weak Production",00-0040236,Kyle Monangai,CHI,RB,rb_opportunity_share,RB opportunity share,Produced 37 yards while handling 13 of 36 team RB opportunities.,13,36,0.3611111111111111,62,123,0.5040650406504065,-0.14295392953929537,13,36,0.3611111111111111,0,0.0,37.0,2.8461538461538463,4,"early downs, passing downs, red zone, inside five",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0040236&season=2025&family=rb_opportunity_share&week=11,/teams?team=CHI&season=2025&family=rb_opportunity_share&week=11,/games?season=2025&week=11&game=2025_11_CHI_MIN,"The player averaged 2.8 yards per opportunity across early downs, passing downs, red zone, inside five."
