season,week,team,team_plays,team_pass_attempts,team_rush_attempts,team_tds,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_team_tds,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder
2024,20,BUF,59.0,23.0,36.0,3.0,64.5,29.75,34.75,3.0,0.46124031007751937,0.5387596899224806,3.0
2024,21,BUF,70.0,37.0,33.0,4.0,64.75,28.0,36.75,3.25,0.43243243243243246,0.5675675675675675,3.25
2023,1,CAR,72.0,40.0,32.0,1.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,CAR,57.0,38.0,19.0,1.0,72.0,40.0,32.0,1.0,0.5555555555555556,0.4444444444444444,1.0
2023,3,CAR,75.0,61.0,14.0,3.0,64.5,39.0,25.5,1.0,0.6046511627906976,0.3953488372093023,1.0
2023,4,CAR,68.0,37.0,31.0,1.0,68.0,46.333333333333336,21.666666666666668,1.6666666666666667,0.6813725490196079,0.3186274509803922,1.6666666666666667
2023,5,CAR,65.0,42.0,23.0,3.0,68.0,44.0,24.0,1.5,0.6470588235294118,0.35294117647058826,1.5
2023,6,CAR,68.0,43.0,25.0,2.0,66.25,44.5,21.75,2.0,0.6716981132075471,0.3283018867924528,2.0
2023,8,CAR,61.0,37.0,24.0,1.0,69.0,45.75,23.25,2.25,0.6630434782608695,0.33695652173913043,2.25
2023,9,CAR,71.0,43.0,28.0,3.0,65.5,39.75,25.75,1.75,0.6068702290076335,0.3931297709923664,1.75
2023,10,CAR,57.0,41.0,16.0,0.0,66.25,41.25,25.0,2.25,0.6226415094339622,0.37735849056603776,2.25
2023,11,CAR,59.0,36.0,23.0,2.0,64.25,41.0,23.25,1.5,0.6381322957198443,0.36186770428015563,1.5
2023,12,CAR,67.0,35.0,32.0,1.0,62.0,39.25,22.75,1.5,0.6330645161290323,0.36693548387096775,1.5
2023,13,CAR,70.0,35.0,35.0,2.0,63.5,38.75,24.75,1.5,0.610236220472441,0.38976377952755903,1.5
2023,14,CAR,79.0,40.0,39.0,1.0,63.25,36.75,26.5,1.25,0.5810276679841897,0.4189723320158103,1.25
2023,15,CAR,63.0,27.0,36.0,0.0,68.75,36.5,32.25,1.5,0.5309090909090909,0.4690909090909091,1.5
2023,16,CAR,64.0,38.0,26.0,4.0,69.75,34.25,35.5,1.0,0.4910394265232975,0.5089605734767025,1.0
2023,17,CAR,53.0,38.0,15.0,0.0,69.0,35.0,34.0,1.75,0.5072463768115942,0.4927536231884058,1.75
