projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_carries,projected_yards_per_carry,projected_rushing_yards_raw,calibration_bucket,calibration_multiplier,projected_rushing_yards_calibrated,projected_rushing_yards,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,NO,LV,00-0038551,K.Miller,RB,6.706900723602342,3.959810908071693,26.55805864467448,25-40,0.9165747317233124,24.34244547733451,24.34244547733451,True,95,3,86,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,BUF,00-0039851,D.Maye,QB,3.991143212822242,6.612645528107511,26.392015318305646,25-40,0.9165747317233124,24.190254360013547,24.190254360013547,True,96,4,10,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PIT,BAL,00-0036945,J.Fields,QB,5.631440415619445,4.681074440891262,26.36119179495825,25-40,0.9165747317233124,24.16200229737064,24.16200229737064,True,97,3,11,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,NYG,00-0034750,R.Penny,RB,6.671984222089076,3.946847550263517,26.333304582349108,25-40,0.9165747317233124,24.136441582954905,24.136441582954905,True,98,3,87,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,NE,00-0039921,T.Benson,RB,5.855939185140803,4.494243142503927,26.318014525739088,25-40,0.9165747317233124,24.122427103419543,24.122427103419543,True,99,7,88,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,PHI,00-0033045,E.Elliott,RB,6.40073085180747,3.554569083062426,22.75183999483866,15-25,1.058376776203558,24.08001906643652,24.08001906643652,True,100,2,89,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,CAR,00-0037157,Z.Knight,RB,6.130317555422408,4.28018088359685,26.23886801109716,25-40,0.9165747317233124,24.049883407994784,24.049883407994784,True,101,4,90,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,TB,00-0034414,B.Scott,RB,6.139932940037793,4.271847550263518,26.228857488682724,25-40,0.9165747317233124,24.04070801609836,24.04070801609836,True,102,4,91,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BUF,KC,00-0039875,R.Davis,RB,6.418439185140803,4.081028856789642,26.193835530109013,25-40,0.9165747317233124,24.008607773814237,24.008607773814237,True,103,6,92,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,BAL,00-0039617,J.Kibodi,RB,5.668439185140803,4.611862190122975,26.142060354962354,25-40,0.9165747317233124,23.96115195654426,23.96115195654426,True,104,4,93,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,LV,00-0036493,D.Jackson,RB,7.505317555422408,3.482561835977803,26.1377324854083,25-40,0.9165747317233124,23.95718514066882,23.95718514066882,True,105,4,94,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,NYJ,00-0039874,J.Wright,RB,5.841516108217727,3.872009248946505,22.61840439888903,15-25,1.058376776203558,23.93879393056455,23.93879393056455,True,106,3,95,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,KC,00-0039373,A.Estime,RB,6.303054569756187,4.143177979596659,26.11467689760992,25-40,0.9165747317233124,23.9360529714678,23.9360529714678,True,107,5,96,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,DEN,00-0038045,I.Spiller,RB,6.783095333200187,3.845496198912167,26.084367320680176,25-40,0.9165747317233124,23.90827197912477,23.90827197912477,True,108,4,97,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,PHI,00-0033308,M.Breida,RB,6.671984222089076,3.883211186627154,25.90872376821617,25-40,0.9165747317233124,23.747281537146144,23.747281537146144,True,109,5,98,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,KC,00-0035831,J.Robinson,RB,6.005317555422408,3.696847550263517,22.200743493317823,15-25,1.058376776203558,23.496751327779837,23.496751327779837,True,110,4,99,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BAL,BUF,00-0034975,J.Hill,RB,4.789447588502148,4.630919859880996,22.179547955453742,15-25,1.058376776203558,23.474318462745348,23.474318462745348,True,111,4,100,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,LV,00-0036020,S.Ahmed,RB,6.541031841136695,3.890029368445336,25.44480596195781,25-40,0.9165747317233124,23.32206619833322,23.32206619833322,True,112,4,101,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
