projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_pass_attempts,projected_qb_attempt_share,projected_pass_attempts_raw,calibration_bucket,calibration_multiplier,projected_pass_attempts_calibrated,projected_pass_attempts,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,NYG,PHI,00-0035704,D.Lock,QB,33.5,0.2546792378375987,8.531754467559557,0-20,0.8381734519382428,7.151090093163918,7.151090093163918,False,63,2,63,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,MIN,00-0038416,T.Bagent,QB,35.75,0.2241912562074056,8.014837409414751,0-20,0.8381734519382428,6.717823938172925,6.717823938172925,False,64,2,64,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,CIN,00-0033537,D.Watson,QB,40.5,0.1913569718520316,7.749957360007279,0-20,0.8381734519382428,6.495808512811492,6.495808512811492,False,65,1,65,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,LAC,00-0038122,D.Ridder,QB,39.0,0.1971952140200465,7.690613346781814,0-20,0.8381734519382428,6.446067936394435,6.446067936394435,False,66,4,66,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,CHI,00-0032434,B.Allen,QB,41.0,0.1846292574288578,7.56979955458317,0-20,0.8381734519382428,6.344805023145549,6.344805023145549,False,67,3,67,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,BAL,00-0038476,T.DeVito,QB,33.5,0.2239178735554864,7.501248764108794,0-20,0.8381734519382428,6.287347570460546,6.287347570460546,False,68,3,68,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,KC,00-0035264,J.Stidham,QB,32.25,0.2227679182722054,7.184265364278624,0-20,0.8381734519382428,6.021660500017772,6.021660500017772,False,69,2,69,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,BAL,00-0038108,B.Zappe,QB,40.5,0.1772302452394086,7.177824932196049,0-20,0.8381734519382428,6.016262300827146,6.016262300827146,False,70,2,70,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,CLE,00-0035100,J.Browning,QB,44.5,0.1597271985355161,7.107860334830466,0-20,0.8381734519382428,5.957619832739766,5.957619832739766,False,71,3,71,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,CIN,00-0032436,J.Driskel,QB,40.5,0.1750393944720266,7.089095476117078,0-20,0.8381734519382428,5.941891626336831,5.941891626336831,False,72,3,72,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,ATL,00-0033319,N.Mullens,QB,43.75,0.1581194318143907,6.917725141879593,0-20,0.8381734519382428,5.798253561729189,5.798253561729189,False,73,3,73,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,DEN,00-0033275,P.Walker,QB,40.5,0.1678011874331075,6.795948091040854,0-20,0.8381734519382428,5.696183270660824,5.696183270660824,False,74,4,74,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BUF,NE,00-0034401,M.White,QB,30.25,0.2209234992372605,6.68293585192713,0-20,0.8381734519382428,5.601459412091604,5.601459412091604,False,75,2,75,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,BAL,00-0034177,T.Boyle,QB,33.5,0.1975376929555215,6.617512714009971,0-20,0.8381734519382428,5.546623474746947,5.546623474746947,False,76,4,76,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
