projection_mode,season,week,team,player_id,player_name,position,projected_receptions_calibrated,projected_yards_per_reception,projected_receiving_yards_raw,calibration_bucket,calibration_multiplier,projected_receiving_yards_calibrated,projected_receiving_yards,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,CIN,00-0035341,T.Irwin,WR,2.0274620049846073,9.027242159512287,18.302390488206356,15-25,0.8422095618415284,15.414448273724831,15.414448273724831,13.506822273778363,True,351,17,262,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,00-0039451,I.Williams,WR,2.8693145152381585,6.3629564452265726,18.2573232881168,15-25,0.8422095618415284,15.376492246883984,15.376492246883984,8.159412049896732,True,352,18,263,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,00-0034830,H.Hurst,TE,1.8917908296779622,9.63714560821654,18.2314636858953,15-25,0.8422095618415284,15.354713042627617,15.354713042627617,20.569010297420355,True,353,13,83,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,00-0033553,J.Conner,RB,2.2479482812156486,8.093125789823457,18.19292820889568,15-25,0.8422095618415284,15.322258095428412,15.322258095428412,15.877951563907002,True,354,10,8,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,00-0038597,C.Brown,RB,2.5495760818273046,7.08207819654808,18.056297179549638,15-25,0.8422095618415284,15.207186136068925,15.207186136068925,18.14452273579225,True,355,19,9,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,00-0039066,M.Mayer,TE,2.045414909805079,8.813496340817274,18.027256823020156,15-25,0.8422095618415284,15.18272807012051,15.18272807012051,22.66668633595669,True,356,12,84,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,00-0037539,L.Krull,TE,2.045795870989672,8.797543959864893,17.997979107941724,15-25,0.8422095618415284,15.158070098532582,15.158070098532582,17.029911236393485,True,357,10,85,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,WAS,00-0036628,J.Bates,TE,1.7866934719751288,10.031851319172253,17.92384326379015,15-25,0.8422095618415284,15.095632181712933,15.095632181712933,18.98986292102107,True,358,14,86,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,00-0038809,B.Sims,TE,1.8304263073238576,9.767861420182353,17.879350509795554,15-25,0.8422095618415284,15.058159958866021,15.058159958866021,15.647187113914976,True,359,8,87,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,00-0039920,M.Corley,WR,2.2665289193592977,7.879623111893238,17.859393656757927,15-25,0.8422095618415284,15.041352106413465,15.041352106413465,19.060554510956333,True,360,9,264,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,00-0039359,C.Stover,TE,1.9617289919395222,9.061867268135568,17.77692774100934,15-25,0.8422095618415284,14.971898523643988,14.971898523643988,18.55846340883838,True,361,10,88,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BAL,00-0038046,C.Kolar,TE,1.392447839312786,12.715737237175816,17.7060008411746,15-25,0.8422095618415284,14.912163210411393,14.912163210411393,8.07266966596022,True,362,11,89,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,00-0036254,C.Johnson,WR,2.005355818068599,8.812956445226572,17.673113481820263,15-25,0.8422095618415284,14.884465161899453,14.884465161899453,12.148379142084853,True,363,9,265,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,00-0037654,T.Fisk,TE,2.2114459111486813,7.991472531293463,17.672709253385932,15-25,0.8422095618415284,14.884124716846891,14.884124716846891,14.64190561368294,True,364,14,90,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,00-0038920,J.Shenker,TE,2.1726851851851823,8.103972531293463,17.60738105988897,15-25,0.8422095618415284,14.829104687625914,14.829104687625914,9.866306299725345,True,365,13,91,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,00-0038547,L.Schoonmaker,TE,1.890365519717827,9.30952808684902,17.598410900224057,15-25,0.8422095618415284,14.82154993338488,14.82154993338488,14.81075459296059,True,366,10,92,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SEA,00-0033439,P.Brown,TE,1.779815246491343,9.810222531293462,17.460383632669,15-25,0.8422095618415284,14.705302048855152,14.705302048855152,16.677206744826098,True,367,10,93,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,00-0039040,D.Achane,RB,2.326207713024438,7.4798157531091665,17.399605096884237,15-25,0.8422095618415284,14.654113784862497,14.654113784862497,15.959743686153262,True,368,11,10,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,00-0038359,X.Smith,WR,2.7267548369271113,6.3629564452265726,17.350222264178093,15-25,0.8422095618415284,14.612523090966564,14.612523090966564,7.105105998505581,True,369,11,266,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,00-0036754,B.Wright,TE,1.9873115116923936,8.645140622461554,17.18058747921739,15-25,0.8422095618415284,14.469655053051728,14.469655053051728,14.656308131149215,True,370,14,94,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,00-0039737,T.Reiman,TE,2.2643440545881335,7.562305864626796,17.12366232354466,15-25,0.8422095618415284,14.421712142634837,14.421712142634837,16.766922514488524,True,371,11,95,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,00-0038710,B.Whiteheart,TE,1.8642977176149953,9.078972531293465,16.92590776837964,15-25,0.8422095618415284,14.25516136537714,14.25516136537714,15.41871165445399,True,372,12,96,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,00-0039613,D.Holker,TE,2.088004325489231,8.103972531293463,16.92112969898666,15-25,0.8422095618415284,14.25113722964723,14.25113722964723,16.614111613764972,True,373,19,97,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,00-0035562,J.Horsted,TE,1.8811858386212128,8.92336578581363,16.78650934910965,15-25,0.8422095618415284,14.137758683762359,14.137758683762359,6.618519471906084,True,374,14,98,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,00-0037617,H.Haskins,RB,1.26535526204034,13.181097804391218,16.6787714662548,15-25,0.8422095618415284,14.047020808649442,14.047020808649442,7.794005575868334,True,375,15,11,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,00-0036510,K.Yeboah,TE,1.6658682006674235,9.926829674150603,16.536789887609253,15-25,0.8422095618415284,13.927442565508807,13.927442565508807,16.608042038984113,True,376,10,99,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,00-0036145,L.Cager,TE,1.6608798628507195,9.92336578581363,16.481518405359665,15-25,0.8422095618415284,13.88089239466105,13.88089239466105,12.43612567158506,True,377,13,100,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PIT,00-0037228,J.Warren,RB,2.199146982522414,7.4513358996293135,16.386582859430742,15-25,0.8422095618415284,13.800936770121066,13.800936770121066,16.968002481812984,True,378,11,12,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,00-0039379,J.Thrash,WR,1.777195140460195,9.17962311189324,16.31398158571276,15-25,0.8422095618415284,13.739791283193906,13.739791283193906,17.966188637248518,True,379,13,267,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PIT,00-0037451,R.Williams,TE,1.602358804544389,10.154207232267035,16.270683361791395,15-25,0.8422095618415284,13.703325104996576,13.703325104996576,5.916635868464443,True,380,12,101,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,00-0035639,P.Campbell,WR,2.1141418710513284,7.693725675995803,16.265627596005412,15-25,0.8422095618415284,13.69906709070919,13.69906709070919,19.36468637029996,True,381,11,268,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,00-0035311,M.Gaskin,RB,1.5261524676268465,9.714431137724551,14.825703052429398,0-15,0.92340475028487,13.690124624926204,13.690124624926204,4.967668907546074,True,382,12,13,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,00-0039392,J.Jackson,WR,1.6897617803462313,9.612956445226573,16.24360639727683,15-25,0.8422095618415284,13.680520626576769,13.680520626576769,6.325836308346905,True,383,16,269,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,00-0039032,T.Spears,RB,1.9941029854924008,7.409796991383088,14.775898302409624,0-15,0.92340475028487,13.644134682171194,13.644134682171194,14.748526308704973,True,384,17,14,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BAL,00-0038454,K.Mitchell,RB,0.920965640691067,17.58443113772455,16.19465688894244,15-25,0.8422095618415284,13.639294882610102,13.639294882610102,3.7927567686644506,True,385,12,15,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,00-0032214,T.Kroft,TE,1.4541941380322938,10.154207232267035,14.766188633527845,0-15,0.92340475028487,13.635168727802066,13.635168727802066,6.117881986439424,True,386,12,102,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,00-0034972,A.Mattison,RB,2.096017521035028,7.712158410451823,16.16481915330467,15-25,0.8422095618415284,13.614165256352273,13.614165256352273,17.21305450789343,True,387,15,16,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,00-0035685,D.Montgomery,RB,1.88733525562972,8.56141389634524,16.158258284610582,15-25,0.8422095618415284,13.608639630004125,13.608639630004125,12.255171239530478,True,388,15,17,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BUF,00-0035537,Ty.Johnson,RB,1.2575742431485664,11.695643258936672,14.708139719492918,0-15,0.92340475028487,13.581566084833335,13.581566084833335,8.609617664491555,True,389,11,18,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SEA,00-0037093,D.Young,WR,1.1634748987595556,12.608446986361637,14.669611580972328,0-15,0.92340475028487,13.54598901870379,13.54598901870379,6.463354488963142,True,390,11,270,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,00-0032104,A.Abdullah,RB,2.347017964675549,6.829494697046585,16.028946743624733,15-25,0.8422095618415284,13.499732213729379,13.499732213729379,17.210880913713503,True,391,16,19,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,00-0036032,S.McKeon,TE,1.438852804080676,10.154207232267035,14.610409549363705,0-15,0.92340475028487,13.491321581489872,13.491321581489872,5.312897514539499,True,392,11,103,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,00-0033258,D.Daniels,TE,1.435060004637132,10.154207232267035,14.571896677823531,0-15,0.92340475028487,13.455758612962565,13.455758612962565,6.037383539249432,True,393,16,104,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,00-0036275,D.Swift,RB,1.7793736055042289,8.187204246968248,14.568095139927426,0-15,0.92340475028487,13.452248254810913,13.452248254810913,13.396562626556245,True,394,10,20,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
