projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_rush_attempts,projected_player_rush_attempt_share,projected_carries_raw,calibration_bucket,calibration_multiplier,projected_carries_calibrated,projected_carries,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,NO,LV,00-0038551,K.Miller,RB,17.0,0.1459267459937971,2.4807546818945507,0-3,0.986118670675152,2.446318509181014,2.446318509181014,True,137,2,122,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SEA,LA,00-0038636,K.McIntosh,RB,20.0,0.1235761250030386,2.471522500060772,0-3,0.986118670675152,2.437214482303657,2.437214482303657,True,138,3,123,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,WAS,00-0035567,C.Reynolds,RB,29.75,0.0812654335719324,2.417646648764989,0-3,0.986118670675152,2.384086499442367,2.384086499442367,True,139,5,124,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,WAS,PHI,00-0033955,J.McNichols,RB,29.5,0.0812697026018954,2.397456226755914,0-3,0.986118670675152,2.3641763473304076,2.3641763473304076,True,140,7,125,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,CAR,00-0033936,C.Beathard,QB,29.25,0.081360009445517,2.3797802762813722,0-3,0.986118670675152,2.346745762545533,2.346745762545533,True,141,6,16,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,WAS,00-0037012,T.Lance,QB,32.25,0.0734904265677908,2.370066256811253,0-3,0.986118670675152,2.3371665865787463,2.3371665865787463,True,142,5,17,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,IND,00-0036972,M.Jones,QB,29.25,0.0802059961719488,2.3460253880295023,0-3,0.986118670675152,2.3134594370138104,2.3134594370138104,True,143,7,18,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,TB,00-0036360,C.Edwards-Helaire,RB,17.0,0.1368012630014523,2.325621471024689,0-3,0.986118670675152,2.293338753500458,2.293338753500458,True,144,3,126,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,SF,00-0035228,K.Murray,QB,27.75,0.0836169003998541,2.3203689860959513,0-3,0.986118670675152,2.28815918004479,2.28815918004479,True,145,6,19,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0037594,J.Chestnut,RB,27.75,0.0833847413671943,2.313926572939642,0-3,0.986118670675152,2.2818061961471496,2.2818061961471496,True,146,5,127,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,CAR,00-0035710,D.Jones,QB,22.0,0.1047859480035895,2.305290856078969,0-3,0.986118670675152,2.273290354516176,2.273290354516176,True,147,5,20,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,LA,00-0034869,S.Darnold,QB,22.75,0.1010014702969094,2.297783449254689,0-3,0.986118670675152,2.2658871604783997,2.2658871604783997,True,148,4,21,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,PHI,00-0037410,J.Corbin,RB,22.0,0.1037379752967506,2.2822354565285132,0-3,0.986118670675152,2.250554994559596,2.250554994559596,True,149,6,128,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,SF,00-0036670,J.Jefferson,RB,29.75,0.0763958835409717,2.272777535343908,0-3,0.986118670675152,2.241228361893683,2.241228361893683,True,150,6,129,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,KC,00-0039746,W.Shipley,RB,37.5,0.060578864123423,2.2717074046283625,0-3,0.986118670675152,2.2401730860150204,2.2401730860150204,True,151,7,130,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,SF,00-0039136,Z.Evans,RB,21.5,0.1056210328401642,2.2708522060635303,0-3,0.986118670675152,2.239329758743105,2.239329758743105,True,152,4,131,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
