projection_mode,history_start_season,history_end_season,max_training_season,max_training_week,target_season,target_week,leakage_check,leakage_status,season,week,team,player_id,player_name,position,projected_team_pass_attempts,projected_target_share,projected_catch_rate,projected_receptions_raw,calibration_bucket,calibration_multiplier,projected_receptions_calibrated,projected_receptions,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,current_team_verified,team_verify_flag,team_source,team_context_note,route_proxy_status,confidence_score,confidence_bucket,quality_flags
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,DEN,00-0036422,A.Trautman,TE,32.25,0.0698301480592416,0.7736631334213705,1.7423066097420126,1-2,0.7798033969713766,1.358656612842504,1.358656612842504,17.545836202204146,True,392,11,102,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,HOU,00-0036556,B.Jordan,TE,34.5,0.0662830870373564,0.7609819740010806,1.7401880873717654,1-2,0.7798033969713766,1.3570045819016254,1.3570045819016254,16.2716459512578,True,393,11,103,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,BUF,00-0037387,J.Virgil,WR,30.25,0.0833333333333333,0.6888288022258241,1.7364226056109309,1-2,0.7798033969713766,1.3540682464332927,1.3540682464332927,5.546566618188228,True,394,9,260,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,KC,00-0037272,M.Washington,WR,30.0,0.0833333333333333,0.6888288022258241,1.7220720055645595,1-2,0.7798033969713766,1.342877599768555,1.342877599768555,5.500727224649482,True,395,13,261,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CAR,00-0035243,M.Sanders,RB,32.75,0.0593385054867613,0.8859819740010806,1.7217607138829871,1-2,0.7798033969713766,1.3426348534578156,1.3426348534578156,12.407906027773084,True,396,11,32,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,LV,00-0039543,R.Keyton,WR,39.0,0.0906784188034188,0.4868126034345759,1.721592488187901,1-2,0.7798033969713766,1.3425036704893296,1.3425036704893296,17.334322888419955,True,397,17,262,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,IND,00-0036876,K.Granson,TE,34.0,0.0834795131670131,0.597948356122748,1.6971588807168547,1-2,0.7798033969713766,1.3234502603831426,1.3234502603831426,25.87199354313559,True,398,10,104,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,MIA,00-0032688,R.Chosen,WR,38.0,0.0935623123123123,0.4772292701012426,1.6967256125239936,1-2,0.7798033969713766,1.32311239637455,1.32311239637455,19.93166539166472,True,399,12,263,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CAR,00-0034365,I.Thomas,TE,32.75,0.0774205087440381,0.6688959367679093,1.6960001368755708,1-2,0.7798033969713766,1.3225466679994897,1.3225466679994897,22.052004496669788,True,400,12,105,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,HOU,00-0037277,T.Quitoriano,TE,34.5,0.062971269936737,0.7803963751139926,1.6954180024259233,1-2,0.7798033969713766,1.3220927175781605,1.3220927175781605,13.528762863583864,True,401,12,106,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
