season,week,player_id,player_name,team,opponent,position,game_id,home_team,away_team,is_home,spread_line,total_line,team_implied_total,opponent_implied_total,favorite_status,spread_bucket,game_total_bucket,pass_volume_environment,rush_volume_environment,game_script_score,game_environment_reliability,game_environment_notes
2025,1,,C.Jones,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.Bowden,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Stevenson,NE,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Dortch,ARI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Perry,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Sherfield,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Mims,DEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Robinson,WAS,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Z.Ertz,WAS,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Hill,NO,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Eskridge,MIA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Iosivas,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Mason,SF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Kupp,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Gordon,BAL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0039918,C.Williams,CHI,GB,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Ridley,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Hunt,KC,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Moore,ARI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Watson,GB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,S.LaPorta,DET,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Boutte,NE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.Jackson,BAL,BUF,QB,2025_01_BAL_BUF,BUF,BAL,False,1.5,50.5,24.5,26.0,UNDERDOG,CLOSE,HIGH,POSITIVE,NEUTRAL,64.0,MEDIUM,From schedules.csv spread_line/total_line.
2025,1,,T.Tracy,NYG,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,P.Washington,JAX,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Atwell,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.McClellan,ATL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.McMillan,TB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Chubb,CLE,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,O.Zaccheaus,WAS,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Moore,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Lassiter,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Reed,GB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,S.McCormick,LV,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Doss,LAC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Metchie,HOU,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
