profile_name,market_family,challenger_signal_tier,row_count,average_challenger_score,average_actual_primary_value,baseline_average_actual,lift_vs_baseline
recent_form_heavy,receiving,ELITE_SIGNAL,804,88.27161691542287,69.20771144278606,29.650579790171175,39.557131652614885
recent_form_heavy,receiving,GOOD_SIGNAL,1826,64.5973986856517,31.167579408543265,29.650579790171175,1.5169996183720897
recent_form_heavy,receiving,REVIEW,2357,28.557598642341965,12.392023759015698,29.650579790171175,-17.25855603115548
recent_form_heavy,receiving,STRONG_SIGNAL,1573,78.64269548633185,48.849332485696124,29.650579790171175,19.19875269552495
recent_form_heavy,receiving,WATCH,2495,49.53646893787575,19.99318637274549,29.650579790171175,-9.657393417425684
recent_form_heavy,rushing,ELITE_SIGNAL,454,88.23955947136562,73.14096916299559,28.07596539354294,45.065003769452645
recent_form_heavy,rushing,GOOD_SIGNAL,918,64.70699346405229,27.42156862745098,28.07596539354294,-0.6543967660919598
recent_form_heavy,rushing,REVIEW,1319,28.194897649734646,8.630780894617134,28.07596539354294,-19.445184498925805
recent_form_heavy,rushing,STRONG_SIGNAL,789,78.81397972116604,51.26742712294043,28.07596539354294,23.191461729397492
recent_form_heavy,rushing,WATCH,1259,49.836822875297855,18.140587768069896,28.07596539354294,-9.935377625473045
usage_heavy,passing,ELITE_SIGNAL,87,88.88045977011495,256.28735632183907,192.1782390837509,64.10911723808817
usage_heavy,passing,GOOD_SIGNAL,375,64.77698666666667,218.464,192.1782390837509,26.285760916249103
usage_heavy,passing,REVIEW,360,27.068555555555555,112.34722222222223,192.1782390837509,-79.83101686152867
usage_heavy,passing,STRONG_SIGNAL,250,77.9616,248.748,192.1782390837509,56.569760916249095
usage_heavy,passing,WATCH,325,49.554553846153844,189.6,192.1782390837509,-2.5782390837509013
usage_heavy,receiving,ELITE_SIGNAL,749,88.38385847797062,68.88384512683578,29.650579790171175,39.2332653366646
usage_heavy,receiving,GOOD_SIGNAL,1852,64.40684665226782,32.296436285097194,29.650579790171175,2.6458564949260186
usage_heavy,receiving,REVIEW,2643,27.838967082860385,12.923571698827091,29.650579790171175,-16.727008091344082
usage_heavy,receiving,STRONG_SIGNAL,1488,78.53545698924731,50.30443548387097,29.650579790171175,20.653855693699793
usage_heavy,receiving,WATCH,2323,49.28200602668962,20.6926388291003,29.650579790171175,-8.957940961070875
usage_heavy,rushing,ELITE_SIGNAL,429,88.37251748251748,73.15850815850816,28.07596539354294,45.08254276496521
usage_heavy,rushing,GOOD_SIGNAL,947,64.37585005279831,27.724392819429777,28.07596539354294,-0.3515725741131632
usage_heavy,rushing,REVIEW,1425,27.164905263157895,9.047719298245614,28.07596539354294,-19.028246095297327
usage_heavy,rushing,STRONG_SIGNAL,779,78.69356867779203,52.31707317073171,28.07596539354294,24.24110777718877
usage_heavy,rushing,WATCH,1159,49.37601380500432,18.77825711820535,28.07596539354294,-9.297708275337591
