season,week,game_id,player_id,player_name,team,opponent,position,market_family,pregame_projection_proxy,projection_score,usage_foundation_score,recent_form_score,opponent_fit_score,game_script_score,role_availability_score,volatility_score,data_quality_score,overall_signal_score,signal_tier,green_signal_count,red_flag_count,missing_signal_count,actual_receptions,actual_receiving_yards,actual_carries,actual_rushing_yards,actual_pass_attempts,actual_completions,actual_passing_yards,actual_primary_value,actual_primary_metric,backtest_usage_status,data_limitations,feature_source_max_game_order,target_game_order
2023,18,2023_18_DEN_LV,00-0035264,J.Stidham,DEN,LV,QB,passing,176.0,70.27,63.51,75.68,31.58,35.5,60,39.375,95,63.11,GOOD_SIGNAL,2,0,0,0,0,3,2,34,20,272,272,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_KC_LAC,00-0035282,E.Stick,LAC,KC,QB,passing,175.125,64.86,81.08,81.08,13.16,30.5,60,52.5,95,63.2,GOOD_SIGNAL,2,0,0,0,0,13,77,47,28,258,258,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_HOU_IND,00-0035289,G.Minshew,IND,HOU,QB,passing,175.39166666666668,67.57,48.65,78.38,78.95,57.5,60,70.0,95,66.53,GOOD_SIGNAL,2,0,0,0,0,1,9,24,13,141,141,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PIT_BAL,00-0035993,T.Huntley,BAL,PIT,QB,passing,12.625,10.81,12.16,13.51,68.42,31.0,60,52.5,95,25.93,REVIEW,1,1,0,0,0,8,40,28,15,146,146,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_BUF_MIA,00-0036212,T.Tagovailoa,MIA,BUF,QB,passing,198.37708333333333,81.08,68.92,89.19,26.32,56.5,60,70.0,95,71.57,GOOD_SIGNAL,3,0,0,0,0,1,7,27,17,173,173,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_CHI_GB,00-0036264,J.Love,GB,CHI,QB,passing,200.12708333333333,83.78,74.32,94.59,55.26,52.5,60,70.0,95,76.9,STRONG_SIGNAL,3,0,0,0,0,3,-1,32,27,316,316,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PHI_NYG,00-0036389,J.Hurts,PHI,NYG,QB,passing,165.85208333333333,59.46,58.11,67.57,59.21,45.5,60,70.0,95,60.79,GOOD_SIGNAL,1,0,0,0,0,2,4,16,7,55,55,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DAL_WAS,00-0036626,D.Brown,WAS,DAL,WR,passing,0.0,6.76,4.05,6.76,,49.0,60,70.0,92,18.54,REVIEW,0,1,1,0,0,0,0,1,1,4,4,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_CHI_GB,00-0036945,J.Fields,CHI,GB,QB,passing,159.31458333333333,54.05,68.92,68.92,36.84,52.5,60,70.0,95,59.72,GOOD_SIGNAL,2,0,0,0,0,8,27,16,11,148,148,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_JAX_TEN,00-0036971,T.Lawrence,JAX,TEN,QB,passing,204.27291666666665,89.19,100.0,100.0,50.0,43.5,60,70.0,95,83.32,STRONG_SIGNAL,3,0,0,0,0,3,10,43,29,280,280,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DAL_WAS,00-0037077,S.Howell,WAS,DAL,QB,passing,122.75208333333333,29.73,43.24,51.35,15.79,49.0,60,70.0,95,40.98,REVIEW,0,1,0,1,4,4,-1,27,19,153,153,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_NYJ_NE,00-0038108,B.Zappe,NE,NYJ,QB,passing,147.76875,45.95,51.35,64.86,10.53,31.5,60,70.0,95,48.03,WATCH,0,0,0,0,0,3,13,30,12,88,88,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_ATL_NO,00-0038122,D.Ridder,ATL,NO,QB,passing,124.98958333333333,32.43,32.43,40.54,19.74,43.5,60,70.0,95,37.99,REVIEW,0,1,0,0,0,2,0,30,22,291,291,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PHI_NYG,00-0038476,T.DeVito,NYG,PHI,QB,passing,113.73541666666667,24.32,37.84,37.84,85.53,45.5,60,70.0,95,42.61,REVIEW,1,1,0,0,0,0,0,2,2,14,14,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DEN_LV,00-0038579,A.O'Connell,LV,DEN,QB,passing,162.55625,56.76,78.38,78.38,72.37,35.5,60,70.0,95,65.84,GOOD_SIGNAL,3,0,0,0,0,4,1,31,20,244,244,passing_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
